type,title,description,qualifications,postedQuarter,postedDate,is_suitable
Full Time,104 ft Electrical Engineer ; Power Supply Design Engineer,"About Lexmark

Lexmark International, Inc (NYSE:  LXK) provides businesses of all sizes with a broad range of printing and imaging products, solutions and services that help them to be more productive.  In 2009, Lexmark sold products in more than 170 countries and reported $4.0 billion in revenue.  Learn how Lexmark can help you get more done at www.lexmark.com.

Description:  Electrical Engineer ; Power Supply Design Engineer

Level:  Hardware Engineering-Prof-1 

Job location is Lexington, Kentucky.  This position is advertised at an entry level, but may be filled at an intermediate level depending upon candidate education and experience 

Responsibilities:
Explore and develop new AC/DC power supply technologies for high efficiency and high frequency / high density requirements.
Deliver off-line switch mode power supply designs that meet technical, manufacturing, and cost requirements. 
Validate power supply designs through engineering analysis and testing.
Research and evaluate components, manage design process and documentation, and support new product introduction into manufacturing.
Other power system and power electronics engineering analysis as assigned.","Qualifications:
Have at least a BSEE degree, MSEE a plus, from an accredited university, with a focus on power electronics.
2+ years of work experience, or equivalent academic research, in high frequency off-line switch mode power supply design.
Design familiarity with power semiconductors.
High frequency transformer design experience, EMC filter design experience, thermal design experience, power conversion topology knowledge/experience.
Analog design skills, closed loop control design skills, digital controls.
Simulation tools such as PSpice, MathCad.
Printed circuit board layout experience.
Experience with design for manufacturing and compliance with FCC and safety standards is a plus.
Good communications skills and able to work effectively in a team environment.
Must have permanent US work authorization.",1/14/55,5/16/11,1
Full Time,Fulltime - Financial Operations Review Analyst,"Grow Further with Brown & Brown;s Internal Audit Leadership Program!

Brown & Brown;s Financial Operations & Leadership Program operating out of our Roseland, NJ and Orlando, FL, and offices allows individuals to learn about the insurance industry and grow within the company. Auditors are responsible for working in a team environment which consists of planning, performing fieldwork, and reporting of Financial, IT, and Operational Reviews of the Brown & Brown Profit Centers. 

Sales, Operations, & Accounting Track

The sales, operations, & accounting track of Brown & Brown;s Financial Operations & Leadership Program is a program designed to prepare individuals for a successful sales, operations, or accounting career within the company. The program enables individuals to obtain necessary designations which will assist in their advancement within the insurance industry while introducing them to the multiple lines of business within Brown & Brown.","Required Competencies:
4 year college degree; Accounting or Finance preferred
Proficient in Microsoft Office, Excellent written and verbal communication skills
Highly motivated team player, self-disciplined with great desire to learn
Ability to meet tight deadlines and prioritize workload
Candidate must be willing and available to travel 50;60%.",3/17/55,2/13/17,1
Full Time,Quality Systems Specialist level 1 - The Boeing Company,"This position is an entry level position with the quality organization supporting the H-47 helicopter program. This job will entail direct involvement with product build teams, and support groups such as; engineering, planning, supply chain management. The general requirement for this posting is to assist in the monitoring and validating of corrective action activity that sustains and improves the quality of our products and enhances value of our product with the customer. More specifically assignments could include but are not limited to assist in retrieval, and review of raw data and analysis, assist with troubleshooting and validating completion of corrective actions, and interacting with internal and external customer representatives and participation in the Material Review Board process.","ADAPTABILITY/FLEXIBILITY: Ability to be flexible in response to changing circumstances or conditions, be receptive to feedback and coaching, and be resilient to constraints, frustrations and/or adversity. 

ATTENTION TO DETAIL: Attend to and verify the accuracy and completeness of detailed information. 

COMMUNICATION: Listen effectively, speaks with clarity and precision, writes clearly and concisely. 

CUSTOMER SATISFACTION: Meets commitments to customers on time and uses customer feedback. 

DEPENDABILITY: Willingness to take ownership of work activities and ensure they are completed accurately, efficiently, and in a timely manner. 

INFORMATION TECHNOLOGY FLUENCY: Operate relevant personal computing hardware (e.g., personal computers, printers, storage media) and standard software (e.g., word processing, graphics packages, spreadsheets/databases). 

INITIATIVE: Willingness to take independent action and to seek out additional assignments or tasks. 

INNOVATION/CREATIVITY: Challenge the 
status quo by developing and applying creative and innovative processes in unique environments or situations. 

INTEGRITY: Demonstrates high ethical standards. 

TIME MANAGEMENT: Ability to plan and organize time to work both productively and efficiently as well as maximize the quantity and quality of work. 

TECHNICAL COMPREHENSION: Ability to communicate with technical personnel and assimilate technical information. 

Education: Bachelors degree and typically 1 year work related experience; or equivalent combination of education and experience. ",12/5/54,5/15/07,1
Full Time,"054 ft Manager, Planning & Logistics Manufacturing","Reports to: VP, Operations &#150; Jim Boyle

 

Areas of Responsibility

Main responsibility will include keeping track of internal and external department flow with regards to maintaining all schedules and making sure that all projects proceed as planned.  This involves active coordination with the printers, production, editorial and sales logistics. This will encompasses: 
Chairing of Weekly Printer Meeting 
Coordinated oversight contractual deadline obligations to printers with Managing Editor and Production. 
Coordination of scheduling with the VP of Publishing Operations and Accounting so as to ensure that Marvel maximizes all contractual discounts and rebates with printers. 
Act as the first line of PO/Invoice reconciliation with Logistics Coordinator & Accounting. 
Act as primary liaison with the Manager of Purchasing & Inventory Planning for all publishing programs involving POP, Merchandise units, marketing materials and customized inserts. 
Supervisory oversight of Print Coordinators who will handle all of the daily activity associated with the comic books, custom comics, trade paperbacks, hard covers, digests, and any other formats or offerings that are standard course of business. 
Assist Manager of Purchasing & Inventory Planning with pricing of custom comics and other special projects.  Will coordinate follow-up with all proofs/details with sales and advertising coordinator on an as needed basis. 
Reviews all changes in pricing database prepared by the Manager of Purchasing & Inventory Planning. The Manager will review summary sheets prepared by Logistic Coordinator for hard covers, trades and special projects prior to submission to printers. 
Involved in training of staff in comic book and book manufacturing and general procedures, will work with Managing Editor and Director of Production to create a procedure manual for Publishing Operation. 
Participate in annual printer reviews and paper testing.",,11/26/54,7/24/06,0
Full Time,Fulltime - Multimedia Coordinator,"Multimedia Coordinator 

About the Position

Global manufacturing company is seeking a tech savvy individual to join creative team as a full time photographer/videographer. In this role you will be responsible for creating and producing media projects for campaigns, marketing and general branding of the company. The ideal candidate is someone who has a deep knowledge of photography/videography techniques and practices and is proficient in Adobe Creative Suite. When not operating a camera, you will be assisting the marketing team with their various projects and needs. 

Additional responsibilities include: 

Must be able to operate photo/video camera for shooting assignments
Edit content according to vision of internal client
Assist with graphics design assignments according to corporate brand guidelines 
General understanding of marketing and communication methods

Job Status

Full-Time 
40-60k DOE
Benefits included","Qualifications

Bachelor;s Degree in Photography/Video Production/Media or Bachelor;s Degree in graphic design/related field
Proficient in Adobe Creative Suite; Web experience is a plus 
Strong Adobe Photoshop /After Effects skills required
Excellent interpersonal communication skills
Must be able to take initiative, have enthusiasm in projects and have a good sense of humor!
Self- Motivated, detail oriented",3/10/55,7/13/16,1
Full Time,Fulltime - Inside Sales Rep,"Support of the sales organization by providing sales support for our resellers. That includes: providing small quotes (>32 doors or >32 cameras) for VARs or Lenel field sales, direct selling of products to VARs within their regional responsibility, promoting new product introductions to Lenel;s customers, communicating updates and/or changes to products, responding to routine sales leads from internal or external sources as well as providing MFA and attend to customers; service needs (ie, tracking PO;s). 

Responsibilities will generally focus on one or more of the following: 

Telemarketing 
E-Sales 
Short-term sales initiatives/campaigns 
Communicate Promotions, new product introductions or updates 
80% of calls will be outbound to customers with minimum call expectations set 
East Inside Sales Representative will be required to work 8am-5pm 
Central Inside Sales Representative will be required to work 9am-6pm 
West Inside Sales Representative will be required to work 11am-8pm 
Responding to inbound email and phone calls; No cold calling component 

Level of Responsibility: 

Responsible for small projects or multiple tasks within functional discipline 
Makes significant contribution to their team by applying their knowledge of the discipline 
Works with moderate guidance on projects with short-term focus 
Has a solid understanding of the fundamentals of the discipline and role&#226;&#128;&#148;continuing to develop specialized knowledge","Experience/Qualifications     Fluent in Spanish, Portuguese preferred 
Proficiency in computer based terminology and applications 
Knowledge of IP video components including cameras and video recorders 
Knowledge of thermal dye sublimation printers, related media configurations 
Knowledge of database applications and related integrated applications 
Knowledge of hardware peripheral components and related integration applications 
Knowledge of ID card technologies and applications 
Knowledge of Biometric interface devices 
Knowledge of LAN and WAN topologies 
Knowledge of Lenel product portfolio 

Technical / Personal Skills 
Ability to speak in front of small and large audiences 
Must be able to prepare and implement presentations to large audiences (10-100) to include related marketing activities, materials acquisition and configuration, and follow-up programs 
Proven ability to adapt quickly to emerging technologies 
Ability to establish priorities and work independently, and also must work well in a team environment 
Proven technical ability to review detailed software specifications and proposal preparation 
Customer empathy - ability to listen, understand, and be advocate of needs, and motivations of both internal and external customers",2/11/55,10/15/13,0
Full Time,FULLTIME - Junior Network Engineer,"SIG is a trading firm that uses the latest technology to build systems that drive our success in the markets. We rely on ingenuity, collaboration and flexibility in our engineering methods and priorities.  When we design our systems, we focus on every layer of the stack. Experts in networking, platform, security, and software work together to build our high performance software solutions.

Networking at SIG:

We continue to expand our network infrastructure and invest heavily in advancing technology. At SIG, you will gain exposure to a large and complex network topology. Our Network Services team is responsible for monitoring, maintaining and providing support for the firm;s global enterprise network.  There is always active collaboration between technology and business teams to coordinate configuration changes, provide root-cause analysis, recommend network optimizations, and participate in firm wide projects including upgrading and implementing new hardware and software.

We troubleshoot issues that could include local/wide area networks, OSI Layer 1-3, wireless networks and third-party vendor connections in a multi-vendor environment across multiple Data Center locations. 

How You;ll Learn:

At SIG, you learn the most by doing. With guidance and mentoring from your team, you;ll get hands-on experience beginning on your first day.  In addition, your team lead will work with you over your first 18-24 months to create a customized development plan.  The plan will focus on helping you get to know the people you;ll be working with, what your team is responsible for, and our technical environment.  

Here are some examples of how we facilitate learning every day:

You;ll work with senior team members in projects and problem resolution
We have weekly team whiteboards to discuss new hardware, concepts, projects or complex problems
The door is always open. You;ll have endless opportunities to ask questions
We have an open space floor plan that allows for an easy flow of information between team
Based on your learning and development plan, you may also attend internal classes, spend time with other teams, or rotate through different responsibilities within the networking team

Our Advice:
Be curious
Know what you know;and what you don;t know
Speak up
Persevere
Collaborate
Be accountable for your work
Explore forward

SIG Perks
We;re relaxed ; you can wear jeans and sneakers every day and shorts in the summer 
You can visit our fully stocked kitchens for drinks, snacks, and breakfast. Enjoy our catered lunches every day
Explore Philadelphia using discounts to local restaurants, museums, travel and other attractions
You can use SIG;s gym for work-outs or fitness classes (even at night or on weekends)
We want to make your life easier so take advantage of our on-site services including the barber, dry cleaning and laundry, auto repair and detailing, and more

Check out www.sig.com for more information",,,,1
Full Time,092 ft Project Coordinator,"Project Coordinator
Tracking Code
2010011 
Job Description
BROAD FUNCTION:
Aids the project management function by providing day-to-day task support.  Ensures activities meet set goals and objectives, specifications, and schedule requirements.
 
PRINCIPAL DUTIES AND RESPONSIBILITIES:
1.Provides project support to Project Management Engineers, consisting of, but not limited to executing and monitoring day to day tasks and commitments, preparation of basic reports, and project schedule maintenance.
2.Supports the preparation of customer status reports by providing appropriate data.
3.Utilizes standard planning and scheduling tools as appropriate to efficiently manage day to day tasks. 
4.Ensures execution of the tasks will meet project goals and objectives, which include but are not limited to customer specifications, quality standards, internal design standards, schedule commitments or other stated requirements.
5.Complies with and supports company policies and programs regarding safety, security, ISO, EEO, OSHA and the Code of Ethics and Business Conduct.
6.Performs all other related duties as assigned.
Required Skills
JOB KNOWLEDGE SKILLS AND ABILITIES:
1.Takes full responsibility for assigned projects and tasks.
2.Must have the ability to effectively convey pertinent information verbally and in writing to project team and others in a constructive manner.
3.Capable of executing tasks on schedule; maintains organized records and works systematically and efficiently.
4.Identifies and participates in problem solving activities.
5.Able to effectively handle and keep track of a variety of assigned tasks.
6.Resolves or escalates issues in a timely manner; often involves manager and project team.
7.Actively pursues opportunities to expand job-related knowledge.
Required Experience
MINIMUM QUALIFICATION REQUIREMENTS:
Education:         Associate degree in a relevant technical field.
Experience:       Engineering support and/or product test
This position also requires the ability to work on Defense and Satellite programs subject to ITAR regulations, therefore candidates must be a U.S. Citizen or a U.S. Permanent Resident (&#226;&#128;&#152;Green Card;).",,1/3/55,12/2/09,1
Full Time,063 ft ENGINEERING SYSTEMS CONSULTANT III,"Overview
The Engineering Consultant III provides technical advice, consultation and solutions to other Oce North America employees or customers when addressing installations, testing, upgrades or malfunctions in product capabilities or offering modified or new equipment/applications for meeting customer requirements. This is a National Support position.  Relocation candidates accepted. 

Responsibilities

&#183;        Implementation and support of complex software solutions in customer environments

&#183;        Detail workflow and configurations for pre-installation, installation and/or post-installation diagnostics and troubleshooting

&#183;        Complete complex assignments, which require extensive support at various levels throughout the organization or customer's organization

&#183;        Research and develop solutions which will have significant company-wide impact 

 

Qualifications
 

&#183;        Minimum of a Bachelor degree in applied science or directly related work experience that equates to a four-year college degree

&#183;        Minimum of 3-5 years of experience in software technology, or in a directly related work environment

&#183;        Specialize in either Web design, composition engine usage, Microsoft Access or SQL database administration

&#183;        Expert knowledge of networked and web based applications including HTTP and FTP

&#183;        Application development using InDesign or Quark a plus

&#183;        Technical certifications such as: MCP or MCSE a plus

 

Company Information

Oce is a leading provider of digital document management technology and services. The company solutions are based on advanced software applications that deliver documents and data over internal networks and the Internet to printing devices and archives&#151;locally and around the world. Supporting the workflow solutions are Oce digital printers and scanners, considered the most reliable and productive in the world. Oce also offers a wide range of display graphics, consulting and outsourcing solutions.",,12/5/54,4/12/07,1
Full Time,Intern II - Actuarial Intern - WellPoint,"If youre looking for an industry that offers constant challenge and change, WellPoint is the career choice for you.

 

This summer internship will begin in May or June 2007 and will support the assigned actuarial group with related projects and tasks.  Multiple opportunities are available in a variety of office locations including IN, OH, KY, WI, IL, MO.

 

Essential duties will include, but are not limited to:

Assist the actuarial team to collect and refine actuarial data. 
Analyze, develop and validate statistical models and data. 
Update pricing, valuation and forecasting models. 
Conduct internet research for competitive analysis. 
Prepare documents for audits as necessary.","Qualified candidates will be currently participating in an approved academic course of study for undergraduates in Actuarial Science or a related degree program.

Other criteria for selection include:

Preferred majors include Actuarial Science, Mathematics, Statistics or other related degree. 
Excellent communication, analytical and problem solving skills required. 
Experience required in the use of MS applications, including Word, Excel and Access. 
Demonstrated teamwork and leadership ability as evidenced in extra-curricular activities a plus.",12/4/54,12/6/06,1
Full Time,084 ft Collateral Analyst - the Yield Book - Buffalo 0900942,"The Yield Book is a premier fixed income analytical system currently used by 84 of the top 100 fixed income money managers in the U.S. as well as Citigroup's and other top-tier broker dealers' sales, trading and research professionals.  Institutional portfolio managers - investment advisors, insurance companies, banks and hedge funds - value The Yield Book&#195;&#162; for the fast and broad access it provides to Citigroup's databases, financial models, analytical tools and high-speed computation capabilities
 
A subsidiary of Citigroup, The Yield Book Inc product line includes The Yield Book, the Citigroup Fixed Income Indices, and the Yield Book Add-In, API and Calculator. For more information please visit www.yieldbook.com.
 
Collateral Analyst - Buffalo
 
The Yield Book is adding to its team in Buffalo, NY to develop a structured securities database, which includes modeling of Mortgage and Asset Backed securities along with ongoing deal maintenance of those securities.
  
Responsibilities include:  
Collect real collateral for mortgage-backed and asset-backed securities from a variety of data providers in many formats (csv, spreadsheets, web, text).
Pre-validate collateral data using scripts, spreadsheets, and internally developed utilities. 
Communicate with data providers to fix data omissions or errors. 
Load collateral data into Mortgage Analytics database and perform consistency checks.
Develop new tools and utilities for use by Yield Book teams.
Maintain metrics reporting database.
Perform special data extraction and reporting functions for Yield Book teams.","Academic Background:      Masters degree or Bachelors degree in Economics, Finance, Math, Computer Science or Engineering with high academic standing (Include GPA in resume).
 
Required Skills:                  Strong knowledge of mortgages or mortgage related securities.  Must have strong analytical and mathematical skills. Should possess strong computer skills (Some Unix background preferred).  A computer programming background is beneficial.  Unix shell scripting and .NET development skills are preferred.  Highly motivated and responsive and able to work as a team member and independently.  Excellent oral and written communication skills.",12/25/54,5/12/09,1
Full Time,Fulltime - Business Intelligence Developer/Reporting Engineer,"Big data. Bigger challenges.

Apply your interest in analytics to one of the biggest challenges of our time: healthcare. As a Business Intelligence Developer at Epic, you'll help our customers make sense of the wealth of information they capture within an electronic medical record system.

You'll design and develop custom reporting functionalities that will enable our customers to use their data to monitor and improve organizational practices and build the framework for predictive modeling in patient care. From consultation to analysis of business requirements to interface design, BI Developers are involved in all phases of report development and also provide internal and customer support for technical reporting issues.
More than just important work.

Epic is located in Madison, Wisconsin, a city regularly ranked as one of America's best places to live. You'll earn competitive wages and receive benefits befitting a leading software company (401k match, great health insurance, life insurance, performance bonuses and stock appreciation rights). Epic's environment is one of continuous learning; you'll have access to opportunities to expand your skill set and share your knowledge with others.","  Bachelor's degree or higher in mathematics, engineering, computer science, information systems, statistics, or a related field
  A demonstrated history of academic and professional success
  Programming experience and a demonstrated interest in statistical analysis, informatics, analytics, or business intelligence is preferred
  Familiarity with SQL, Crystal Reports, SAP, Oracle, MS SQL Server or other Database Management systems is a plus
  Relocation to Madison, WI (reimbursed)
  Eligibility to work in the U.S. without visa sponsorship",2/18/55,7/7/14,1
Full Time,Fulltime - Software Engineer,"As a Software Engineer you will apply your software design, development, and testing skill sets to the development of next-generation products for our national and international clients.  Interact regularly with other engineers in a team-based environment to support all stages of the product development process.","Necessary Skills:
Proficiency with C/C++/Java and OOD/OOP/UML.  
Windows development experience.  Attention to detail and methodical approach to problems.  
Self-motivated and able to work independently and enjoy fast paced environment.

Desired Skills:
Knowledge of MS Visual Studio.
MFC, Swing, .NET, Delphi or other GUI development experience.
Windows driver development.
USB, IEEE 1394, PCI, Wireless skills.
Embedded systems development experience.
Microcontroller firmware development (C/Assembly).
Familiarity with RTOS-based systems.",2/15/55,1/2/14,1
Full Time,Unilever - Unilever Future Leaders Program (Thailand) (via WayUp),"3 year rotational management trainee program in Thailand. Open to recent graduates that are Thai nationals. 

This 3-year Graduate Programme is designed to prepare Unilever;s Future Leaders (UFL) by giving them challenging jobs/roles that prepare them for business leadership roles. The Programme encompasses rotations within and across functions in an accelerated learning environment. This includes international stints, extended leadership contact, formal training and professional development.

Available areas of work are: Customer Development, Finance, Human Resources, IT, Marketing, R&D and Supply Chain.","We want to speak to talented individuals with integrity who will help us deliver our ambitions across all locations and multiple disciplines.

All majors are welcome to apply.",3/17/55,5/8/17,1
Full Time,Fulltime - Information Technology Auditor,"INFORMATION TECHNOLOGY AUDITOR ; WILLIAMSVILLE, NY

National Fuel Gas Company (NYSE: NFG) is a multi-billion dollar diversified energy company with corporate headquarters in Williamsville (Buffalo), New York and division operations in New York, Pennsylvania, Texas and California.  The Company holds assets that span nearly every facet of the natural gas industry, including Utility, Pipeline and Storage, Exploration and Production and Energy Marketing.  National Fuel;s history dates to the earliest days of the natural gas and oil industry in the United States, and the Company has been responsible for many industry firsts.  

National Fuel is currently seeking an Information Systems (IS) Auditor for an outstanding career opportunity within our corporate Audit Services team. Primary responsibilities include planning, examining, evaluating and reporting on Information Systems audit work throughout National Fuel to evaluate control environments in computer applications. The IS audits are performed as necessary to complete the annual audit plan and to coordinate compliance with the General Computer Control requirements under the Sarbanes Oxley Act of 2002. Auditors are required to identify and communicate opportunities to strengthen controls, provide processes improvement recommendations and ensure compliance with internal policies and procedures. Auditors are also requested to participate as consultants on special project assignments as requested by management.

A minimum of a Bachelor;s degree is required, with a concentration in Management Information Systems, Computer Information Systems, Computer Science or Accounting preferred. A working knowledge of information technology and related controls is required. Previous audit experience, specifically in Information Systems is desirable. CISA certification is highly preferred or if CISA designation is not previously attained, successful candidate should be willing to pursue. Exceptional analytical skills, attention to detail and ability to work independently as well as within a team environment are required. The successful candidate must possess excellent communication skills and a demonstrated ability to manage multiple priorities is critical to success.  Applicants must be proficient in Microsoft Office.  Travel of approximately 10% is required.  

National Fuel offers a competitive salary and a comprehensive benefits package.  Any candidate offered a position with National Fuel will be required to successfully complete a pre-employment drug test.  For confidential consideration, please submit your resume, cover letter and academic transcripts by December 20, 2016 to:

National Fuel, Human Resources
Position #16-039NY
6363 Main Street
Williamsville, NY 14221
jobs@natfuel.com

Please reference position #16-039NY in the subject line of your email


EQUAL OPPORTUNITY EMPLOYER MINORITIES, WOMEN, DISABLED, PROTECTED VETERANS","A minimum of a Bachelor;s degree is required, with a concentration in Management Information Systems, Computer Information Systems, Computer Science or Accounting preferred. A working knowledge of information technology and related controls is required. Previous audit experience, specifically in Information Systems is desirable. CISA certification is highly preferred or if CISA designation is not previously attained, successful candidate should be willing to pursue. Exceptional analytical skills, attention to detail and ability to work independently as well as within a team environment are required. The successful candidate must possess excellent communication skills and a demonstrated ability to manage multiple priorities is critical to success.  Applicants must be proficient in Microsoft Office.  Travel of approximately 10% is required.",3/13/55,12/6/16,1
Full Time,Fulltime - Senior Account Manager,"Position Summary

 Responsible for marketing program planning/execution and for contributing to continued client development.
 Serve as primary tactical contact with client, internal resources and vendors for project, planning implementation and management.  
 Effectively manage, prioritize client activities and work with other team member to schedule team resources to meet client timelines.
Assist in supporting various custom client-facing systems/tools in terms of QC/QA, troubleshooting, problem resolution, etc. 
 Ability to provide successful project management in the areas of campaign targeting, file development, response and lead management, and campaign reporting for mail, email, and telemarketing initiatives.
 Assist in response management activities as needed, including, but not limited to, response entry, lead review, etc.
 Development of all appropriate documentation to complete project on a timely basis. 
 Shared responsibility in the quality control of all components of the client deliverables.
 Ability to identify income opportunities and development of plans for presentation to clients.
 Jointly responsible with other team members for client satisfaction.
 Jointly responsible with other team members for managing projects and engagements to meet overall team and corporate metrics."," Minimum of 3-4 years' experience in project or account management.
 Minimum of 1-3 years of database/direct marketing experience (client or agency side).
 BA/BS, ideally in Marketing, Journalism, Communications, Business, or relevant work experience.
 Experience in the areas of general, online, and event-based marketing.
 Excellent verbal/written communication skills, both internally and with clients.
 Initiative and ability to work in a team environment.
 Proven client management skills.
 Strong organizational and presentation skills.
 Strong problem-solving skills.
 Ability to maintain focus while managing multiple projects and tight deadlines.
 Proficiency with MS Office Suite.
 Knowledge of database/direct marketing, specifically with direct marketing campaign development and execution.
 Experience in channel marketing. 
 Experience with direct marketing-based analytics.
 Exposure to IT application development projects or marketing solutions involving IT components.",2/2/55,1/29/13,1
Full Time,113 ft Internal Revenue Agent-Technical Specialist,"WHAT DOES AN INTERNAL REVENUE AGENT, TECHNICAL SPECIALIST DO? The incumbent will serve as a domestic and/or international nationwide Technical Specialist for various Large Business and International Division (LB&I) Programs, to provide coordination in the identification and development of issues on examinations of large business, international entities, and individuals involved in international or offshore activities to ensure uniformity in the determination of Federal tax liability. The International Technical Specialist will be assigned to International Practice Networks (IPN) for the LB&I community. The International Technical Specialist facilitates and coordinates the identification, development, and resolution of international issues, and exercises significant responsibility in planning, directing, and coordinating IPN activities.

WHAT IS THE LARGE BUSINESS AND INTERNATIONAL DIVISION? The Large Business and International (LB&I) business unit provides service and enforcement activities to support tax compliance of businesses and related entities with assets of $10 million or more, as well as small U.S. businesses with a U.S. tax requirement. As our name suggests, international tax administration is an important part of what we do in LB&I. As part of the LB&I team, you may be assigned to work in International, or with one of six industry segments: Communications Technology and Media, Financial Services, Global High Wealth, Heavy Manufacturing and Transportation, Natural Resources and Construction, or Retailers, Food, Pharmaceuticals and Healthcare. Regardless of where you serve, you will be supported by a variety of specialists (economists, engineers, field specialists, and technical advisors) as you tackle the most complex foreign and domestic tax issues.

As an Internal Revenue Agent, Technical Specialist you will:

Provide continuing analysis for the technical issues and central point of information and contact for the Service nationwide. Study technical issues by working with industry representatives and groups analyzing news media, market reports, trade publications, corporate prospectus, and stockholder reports. Identify trends, conditions, and events that warrant uniform industry-wide review or modification of existing audit procedures. Write articles for publication in various technical digests. Make recommendations for development of new tax laws affecting technical areas. Formulate and prepare final reports on coordinated issues and other significant, high-impact, or unique issues.
Analyze cases and other data, including domestic, foreign, and multinational entities and individuals, to determine when situations are unprecedented and act as the prime mover to ensure authoritative technical advice, decision, or other precedent is established. Initiates major new coordinated issues and develops other significant issues which set Servicewide precedents. Ensures the implementation of the coordinated issues and other high-impact unique issues, and reconciles inconsistent positions.
Coordinate technical policy among managers examining cases in order to achieve a more effective and uniform examination within a technical area, conduct training sessions and hold periodic meetings with Service personnel on a national and local level to discuss common issues, complex and unusual audit procedures, innovative approaches to the solution of high-impact, unique issues, etc. Plan and conduct meetings with IRS personnel regarding new developments or changes in the examination of procedures, methods, and legal requirements of technical issues.
Provide advice and guidance to team managers and revenue agents responsible for conducting examinations. Disseminate information as appropriate for the closing of all cases which involve coordinated issues or other high-impact, unique issues to ensure Servicewide uniformity.
Provide technical and procedural guidance to Service personnel before, during, and after the examination. Identify and discuss any issues that require technical advice, field service advice, or industry-wide coordination procedures to be followed.
Work with industry representatives and groups to identify and resolve inconsistent positions, procedures, or issues through regulations, litigation, or legislation.
Perform other duties as assigned.","Must be a US Citizen to apply and males born after 12/31/59 must be registered to Selective Service.

In addition to the education requirement for this position, applicants must also possess one year of specialized experience equivalent to the next lower grade level. GS-14 LEVEL: Specialized experience is such that demonstrates mastery of accounting techniques and practices, experience and the ability to apply these techniques to propose innovative interpretations of accounting theories and practices peculiar to the specialized industry. Knowledge of research techniques and use of the Internal Revenue Code, regulations, rulings, court decisions, and agency policies to research legal questions, including consideration of judicial decisions and legislative intent in cases involving adaptation of precedents. Authoritative technical guidance to ensure that pertinent issues are addressed in the examinations. Analysis and research of complex issues on the examination of international entities and returns involved in international or offshore activities. High level of technical skills in interpreting and applying tax law and other precedents to resolve problems and disseminate guidance to other specialists.",1/23/55,2/29/12,1
Full Time,113 ft Full Time Positions,"TI is looking to hire a number of new grads.  All candidates must submit their resumes though this site www.careers.ti.com.   in order to be considered for any position at TI.  Below are the instructions:

Visit www.careers.ti.com 
Create a new account, 
Upload your resume, 
Update your profile (enter your contact information, work experience and education) and apply 

From the careers.ti.com site there is a drop down box that list locations of all of our positions and another box that lists Job Roles so students can select a metropolitan area and either co-op/intern or recent college grad to see open positions for the job location.",,1/24/55,3/29/12,1
Full Time,Business Rater I - Liberty Mutual,"1. Performs internal mail audits of certain lines of expired commercial policies to determine the proper premium to be paid in accordance with the provisions of the policy and insured risks. Prepares billing or initiates refund to insured based on premium determination. Internal mail audits are generally conducted on small non-complex accounts and involve the review of information provided by the insured. 2. Receives premium audit information from field auditors and prepares audit bills for automated and non-automated policies, rating the policy where needed, and prepares for mailing. Initiates refund activity as requred. 3. Organizes assigned workload to ensure compliance with department policies and procedures, including audit production and time and quality standards. 4. Prepares daily log of audits completed or in progress to advise supervisor of workload status and to identify potential problems.","Education: High School diploma or equivalent.

Experience: This is an entry level position and requires no specific experience, however, some general office experience is desireable. Some knowledge of PCS and software applications preferred.",12/5/54,5/15/07,0
Full Time,Feed Manufacturing Intern-Land O' Lakes-F/T,Interns will be assigned project responsibility in their designated department and will be expected to give a formal presentation on findings at the end of the summer internship. Successful interns may be offered a return internship or if graduating a full time position within Land O Lakes.,"Undergrad entering Junior/Senior Year. Pursuing degree in Logistics, Business or related discipline. 2.5 or better GPA.
Must demonstrate strong communication/interpersonal skills, problem solving, decision making and analytical skills. Ability to work independently and produce results. Must be able to work as part of a team.",12/13/54,10/2/07,0
